iter	Passed	Remaining
740	1362	476
741	1364	474
742	1365	472
743	1367	470
744	1368	468
745	1370	466
746	1372	464
747	1373	462
748	1375	460
749	1376	458
750	1377	456
751	1379	454
752	1380	452
753	1382	450
754	1384	449
755	1387	447
756	1390	446
757	1393	444
758	1395	443
759	1397	441
760	1400	439
761	1401	437
762	1403	435
763	1405	434
764	1407	432
765	1408	430
766	1410	428
767	1411	426
768	1415	425
769	1416	423
770	1418	421
771	1419	419
772	1422	417
773	1424	415
774	1425	413
775	1427	411
776	1430	410
777	1432	408
778	1433	406
779	1435	404
780	1436	402
781	1438	401
782	1440	399
783	1442	397
784	1445	395
785	1446	393
786	1447	391
787	1449	389
788	1450	388
789	1452	386
790	1453	384
791	1454	382
792	1456	380
793	1457	378
794	1459	376
795	1461	374
796	1462	372
797	1464	370
798	1465	368
799	1467	366
800	1468	364
801	1470	362
802	1471	361
803	1473	359
804	1474	357
805	1476	355
806	1477	353
807	1479	351
808	1480	349
809	1482	347
810	1483	345
811	1485	343
812	1486	341
813	1489	340
814	1491	338
815	1492	336
816	1493	334
817	1495	332
818	1496	330
819	1498	328
820	1499	326
821	1500	325
822	1502	323
823	1504	321
824	1506	319
825	1507	317
826	1509	315
827	1512	314
828	1513	312
829	1515	310
830	1517	308
831	1519	306
832	1521	304
833	1522	303
834	1524	301
835	1525	299
836	1527	297
837	1529	295
838	1531	293
839	1533	292
840	1535	290
841	1536	288
842	1538	286
843	1540	284
844	1541	282
845	1542	280
846	1544	278
847	1545	277
848	1547	275
849	1549	273
850	1550	271
851	1552	269
852	1554	267
853	1555	265
854	1556	264
855	1558	262
856	1559	260
857	1561	258
858	1563	256
859	1565	254
860	1566	252
861	1567	251
862	1569	249
863	1570	247
864	1572	245
865	1573	243
866	1574	241
867	1576	239
868	1578	237
869	1579	236
870	1581	234
871	1582	232
872	1583	230
873	1585	228
874	1586	226
875	1588	224
876	1589	222
877	1590	221
878	1593	219
879	1594	217
880	1596	215
881	1597	213
882	1599	211
883	1600	210
884	1602	208
885	1603	206
886	1604	204
887	1606	202
888	1608	200
889	1609	198
890	1611	197
891	1612	195
892	1614	193
893	1615	191
894	1616	189
895	1618	187
896	1620	186
897	1622	184
898	1623	182
899	1625	180
900	1626	178
901	1628	176
902	1629	175
903	1630	173
904	1632	171
905	1635	169
906	1637	167
907	1639	166
908	1641	164
909	1642	162
910	1643	160
911	1645	158
912	1646	156
913	1648	155
914	1649	153
915	1651	151
916	1653	149
917	1654	147
918	1655	145
919	1657	144
920	1658	142
921	1660	140
922	1661	138
